Date,KWH,MMBTU
12/31/2018,52176.07201,27221.69844
01/07/2019,68092.55659,34580.72845
01/14/2019,67716.02044,35767.61072
01/21/2019,72512.57396,36810.89205
01/28/2019,71194.34623,37417.61581
02/04/2019,72726.30927,38190.88781
02/11/2019,72485.70319,37640.9018
02/18/2019,72447.71831,38508.93183
02/25/2019,74151.23143,36477.04292
03/04/2019,73727.01744,37932.30396
03/11/2019,73119.00164,38531.44816
03/18/2019,70121.50453,35033.17266
03/25/2019,72465.62239,34411.88981
04/01/2019,69871.47433,34323
04/08/2019,69236.45309,34551
04/15/2019,68202.03209,31046
04/22/2019,68037.56966,32405
04/29/2019,68975.85714,31154.20314
05/06/2019,70922.14286,32869.22723
05/13/2019,66404.57143,32798.82103
05/20/2019,67312.57143,33505.50341
05/27/2019,68487.84333,31230.9327
06/03/2019,68755.83431,32732.50597
06/10/2019,66561.90917,32784.24615
06/17/2019,65742.32169,32359.77223
06/24/2019,58329.14453,28951.99871
07/01/2019,60450.46129,31146.07189
07/08/2019,70030.37157,31655.4878
07/15/2019,70297.9499,33606.54305
07/22/2019,70094.08027,33069.37292
07/29/2019,60799.29816,29944.61858
08/05/2019,67330.09487,34524.59017
08/12/2019,68372.03803,33549.07979
08/19/2019,68169.44509,34100.08293
08/26/2019,68370.20793,33741.8256
09/02/2019,68231.6887,33708.83002
09/09/2019,68446.93579,35353.84235
09/16/2019,69129.73687,34314.62098
09/23/2019,69303.84424,34031.73113
09/30/2019,68021.13473,34527.33874
10/07/2019,62811.26493,33484.44361
10/14/2019,65993.50239,34172.58176
10/21/2019,66373.5274,34076.20917
10/28/2019,67541.90963,35782.33308
11/04/2019,62338.06114,34445.68837
11/11/2019,67029.26893,35000.98693
11/18/2019,65683.004,34623.53311
11/25/2019,60886.24824,33642.69728
12/02/2019,62427.63116,34695.37568
12/09/2019,64785.22997,34748.76529
12/16/2019,60158.28317,33287.14385
12/23/2019,44399.39114,25226.00715
12/31/2019,52278.83716,29256.5755
