Date,KWH,MMBTU
01/01/2020,0,NULL
01/02/2020,1968.5,0
01/03/2020,56212.46,0
01/04/2020,58228.93,4691.38
01/05/2020,49517.22,4733.57
01/06/2020,57056.4,9018.66
01/07/2020,88175.01,0
01/08/2020,83384.23,9383.3
01/09/2020,58694.35,4920.84
01/10/2020,42532.63,0
01/11/2020,NULL,8848.2
01/12/2020,NULL,0
01/13/2020,NULL,9532.65
01/14/2020,NULL,2411.63
01/15/2020,NULL,0
01/17/2020,NULL,12651.66
01/18/2020,NULL,9275.19
01/19/2020,NULL,0
01/20/2020,NULL,5351.23
01/21/2020,NULL,5338.02
01/22/2020,NULL,5381.43
01/23/2020,NULL,0
02/03/2020,284751.67,29928.72
02/04/2020,42854.37,4716.92
02/05/2020,NULL,0
02/06/2020,98562.14,5217.12
02/07/2020,47863.24,0
02/08/2020,66194.85,5113.99
02/09/2020,66165.01,4942.9
02/10/2020,54114.35,4006.04
02/11/2020,NULL,10041.4
02/12/2020,NULL,5129.21
02/13/2020,NULL,0
02/14/2020,NULL,0
02/15/2020,318691.72,5028.89
02/16/2020,40814.82,4654.09
02/17/2020,NULL,8570.4
02/18/2020,NULL,4728.6
02/19/2020,NULL,10134.11
02/20/2020,NULL,0
02/21/2020,390651.39,0
02/22/2020,0,10120.96
02/23/2020,NULL,9040.57
02/24/2020,NULL,0
02/25/2020,-663358.82,0
02/26/2020,37437.65,4841.71
02/27/2020,65400.47,15198.78
02/28/2020,45571.01,0
02/29/2020,64470.53,4607.84
03/01/2020,55442.38,4451.82
03/02/2020,65414.13,5068.74
03/03/2020,75316.92,5194.97
03/04/2020,72049.66,5058.29
03/05/2020,74258.19,5003.75
03/06/2020,72662.43,5052.65
03/07/2020,100639.34,4735.92
03/08/2020,38255.34,4119.6
03/09/2020,68417.56,5169.97
03/10/2020,74629.96,5095.58
03/11/2020,73838.83,1562.02
03/12/2020,74540.43,0
03/13/2020,71892.34,11158.53
03/14/2020,71256.51,0
03/15/2020,59010.74,4599.31
03/16/2020,72830.34,8651.05
03/17/2020,63123.5,5164.73
03/18/2020,71345.01,5188.34
03/19/2020,72690.49,0
03/20/2020,75103.07,10068.05
03/21/2020,66934.24,8144.92
03/22/2020,55596.56,0
03/23/2020,57086.95,7569.28
03/24/2020,60055.44,0
03/25/2020,61234.63,0
03/26/2020,61020.84,7087.21
03/27/2020,59713.08,3297.31
03/28/2020,57559.86,3084
03/29/2020,48919.13,3001.46
03/30/2020,58566.1,3744.94
03/31/2020,59866.58,3868.87
04/01/2020,56509.47,3675.13
04/02/2020,53979.83,3555.53
04/03/2020,53097.67,3214.5
04/04/2020,51511.25,3214.5
04/05/2020,31942.25,0
04/06/2020,14494.62,3799.69
04/07/2020,12408.55,1693.41
04/08/2020,12208.27,1693.41
04/09/2020,12145.24,1672.3
04/10/2020,12029.45,3365.98
04/11/2020,11743.66,0
04/12/2020,11696.87,1626.67
04/13/2020,11933.22,1679.26
04/14/2020,11899.49,1598.97
04/15/2020,11511.31,1637.01
04/16/2020,11317.44,1718.13
04/17/2020,11035.64,0
04/18/2020,8204.84,0
04/19/2020,11236.02,7816.26
04/20/2020,4079.63,4656.11
04/21/2020,10143.57,1345.54
04/22/2020,10135.96,2528.74
04/23/2020,10386.59,0
04/24/2020,7343.89,1235.73
04/25/2020,9309.7,986.1
04/26/2020,9002.3,1162.07
04/27/2020,11532.04,1192.33
04/28/2020,10305.71,1219.08
04/29/2020,9869.66,1116.16
04/30/2020,9885.14,0
05/01/2020,9643.39,2364.73
05/02/2020,9622.85,1184.75
05/03/2020,9581.16,0
05/04/2020,9738.03,2285.97
05/05/2020,8949.36,1142.13
05/06/2020,8868.89,1180.18
05/07/2020,9016.59,2339.97
05/08/2020,9092.08,0
05/09/2020,8950.77,1290.63
05/10/2020,8708.44,1274.29
05/11/2020,9347.47,1306.06
05/12/2020,11802.79,0
05/13/2020,13418.05,3001.35
05/14/2020,13685.19,1465.96
05/15/2020,14898.72,1538.52
05/16/2020,20633.79,0
05/17/2020,10819.76,3153.47
05/18/2020,28110.35,0
05/19/2020,34716.65,1520.81
05/20/2020,37033.37,4649.48
05/21/2020,38232.59,0
05/22/2020,38099.51,NULL
05/23/2020,33766.2,NULL
05/24/2020,15973.83,NULL
05/25/2020,38695.2,NULL
05/26/2020,42003.75,NULL
05/27/2020,39833.35,NULL
05/28/2020,15472.58,NULL
06/01/2020,219393.73,NULL
06/02/2020,41676.32,6415.38
06/03/2020,56026.42,0
06/04/2020,57767.4,6408.14
06/05/2020,56888.94,0
06/06/2020,51275.8,2409.26
06/07/2020,20658.4,1899.04
06/08/2020,48723.88,3573.74
06/09/2020,60982.14,2970.13
06/10/2020,55571.64,3735.51
06/11/2020,61803.76,3951.22
06/12/2020,61470.45,3803.06
06/13/2020,60711.07,3082.48
06/14/2020,29526.1,2029.54
